"";"full_id";"gender";"stadi1";"stadi5";"stadi9";"stadi13";"stadi17";"aqf1";"aqf2";"aqf3";"aqf4";"aqf5";"aqf6";"aqf7";"aqf8";"apq26";"apq28";"apq35";"apq40";"apq40.r";"emotionality";"hostility";"punishment";"emotionality_z";"hostility_z"
"1";1001;"Weiblich";2;2;3;4;1;4;2;3;2;4;3;2;1;1;1;1;5;1;"2.4";"2.625";"1";0,435767343658635;0,742036844650865
"2";1002;"Männlich";3;2;2;2;2;2;3;2;2;3;3;3;2;2;4;4;3;3;"2.2";"2.5";"3.25";0,0981600998769604;0,54486478395053
"3";1003;"Männlich";3;2;3;2;2;3;3;2;2;4;3;2;4;3;1;3;4;2;"2.4";"2.875";"2.25";0,435767343658635;1,13638096605154
"4";1004;"Weiblich";2;2;2;1;2;2;2;2;2;2;2;2;1;1;NA;1;4;2;"1.8";"1.875";"1.33333333333333";-0,57705438768639;-0,440995519551146
"5";1005;"Männlich";2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;3;3;3;"2";"2.125";"3";-0,239447143904715;-0,0466513981504753
"6";1006;"Männlich";2;4;4;3;3;3;2;3;3;2;2;4;4;3;4;5;4;2;"3.2";"2.875";"3.5";1,78619631878534;1,13638096605154
"7";1007;"Männlich";3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;1;5;1;"2.4";"3";"2";0,435767343658635;1,33355302675187
"8";1008;"Männlich";2;2;2;2;1;2;2;1;1;1;2;2;2;3;1;2;3;3;"1.8";"1.625";"2.25";-0,57705438768639;-0,835339640951816
"9";1009;"Männlich";2;1;2;2;2;2;3;4;4;3;3;4;2;4;4;4;4;2;"1.8";"3.125";"3.5";-0,57705438768639;1,53072508745221
"10";1010;"Männlich";2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;4;2;"2";"2";"1.25";-0,239447143904715;-0,24382345885081
"11";1011;"Männlich";2;2;2;1;1;1;1;1;1;1;1;2;1;3;2;3;4;2;"1.6";"1.125";"2.5";-0,914661631468065;-1,62402788375316
"12";1012;"Weiblich";4;4;2;4;4;3;4;1;4;4;4;4;4;2;3;3;1;5;"3.6";"3.5";"3.25";2,46141080634869;2,12224126955321
"13";1013;"Weiblich";3;3;3;3;2;2;4;3;3;3;3;2;2;3;1;2;2;4;"2.8";"2.75";"2.5";1,11098183122199;0,9392089053512
