full_id,gender,stadi1,stadi5,stadi9,stadi13,stadi17,aqf1,aqf2,aqf3,aqf4,aqf5,aqf6,aqf7,aqf8,apq26,apq28,apq35,apq40,apq40.r,emotionality,hostility,punishment
1001,Weiblich,2,2,3,4,1,4,2,3,2,4,3,2,1,1,1,1,5,1,2.4,2.625,1
1002,Männlich,3,2,2,2,2,2,3,2,2,3,3,3,2,2,4,4,3,3,2.2,2.5,3.25
1003,Männlich,3,2,3,2,2,3,3,2,2,4,3,2,4,3,1,3,4,2,2.4,2.875,2.25
1004,Weiblich,2,2,2,1,2,2,2,2,2,2,2,2,1,1,NA,1,4,2,1.8,1.875,1.33333333333333
1005,Männlich,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2.125,3
1006,Männlich,2,4,4,3,3,3,2,3,3,2,2,4,4,3,4,5,4,2,3.2,2.875,3.5
1007,Männlich,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,1,5,1,2.4,3,2
1008,Männlich,2,2,2,2,1,2,2,1,1,1,2,2,2,3,1,2,3,3,1.8,1.625,2.25
1009,Männlich,2,1,2,2,2,2,3,4,4,3,3,4,2,4,4,4,4,2,1.8,3.125,3.5
1010,Männlich,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,2,2,2,1.25
1011,Männlich,2,2,2,1,1,1,1,1,1,1,1,2,1,3,2,3,4,2,1.6,1.125,2.5
1012,Weiblich,4,4,2,4,4,3,4,1,4,4,4,4,4,2,3,3,1,5,3.6,3.5,3.25
1013,Weiblich,3,3,3,3,2,2,4,3,3,3,3,2,2,3,1,2,2,4,2.8,2.75,2.5
1014,Männlich,2,1,1,2,2,3,3,3,3,2,3,4,2,1,2,2,3,3,1.6,2.875,2
1015,Männlich,2,2,3,4,3,2,3,3,2,3,3,3,4,3,2,3,3,3,2.8,2.875,2.75
1016,Männlich,3,3,3,1,3,3,2,2,1,2,2,2,2,2,1,4,5,1,2.6,2,2
1017,Weiblich,2,2,2,2,2,4,4,4,4,3,4,4,4,1,1,1,5,1,2,3.875,1
1018,Weiblich,3,2,3,3,3,2,4,1,3,3,3,3,2,2,3,3,4,2,2.8,2.625,2.5
1019,Weiblich,2,2,3,3,2,2,2,1,2,4,3,4,2,4,3,1,4,2,2.4,2.5,2.5
1020,Männlich,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,2,2,4,2,3,2
1021,Weiblich,2,2,2,2,2,1,2,1,2,3,2,1,3,1,1,1,4,2,2,1.875,1.25
1022,Männlich,3,3,3,3,1,3,4,4,3,4,2,3,3,4,3,2,5,1,2.6,3.25,2.5
1023,Männlich,3,3,3,3,4,2,3,2,3,3,3,2,3,4,4,4,4,2,3.2,2.625,3.5
1024,Männlich,3,2,2,2,1,2,2,2,2,3,2,2,1,1,1,1,5,1,2,2,1
1025,Männlich,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2.4,2.125,3
1026,Weiblich,2,3,2,2,2,1,2,2,2,2,2,2,1,1,2,1,3,3,2.2,1.75,1.75
1027,Männlich,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,5,5,1,3.8,3.5,3.5
1028,Männlich,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,5,1,1.6,1.25,1
1029,Weiblich,2,2,2,2,2,2,3,2,1,2,2,2,1,5,1,1,5,1,2,1.875,2
1030,Weiblich,4,3,3,3,2,4,4,4,4,3,2,2,2,1,1,1,5,1,3,3.125,1
1031,Weiblich,2,2,1,2,2,1,4,3,2,4,4,4,1,1,1,1,5,1,1.8,2.875,1
1032,Männlich,2,1,1,3,1,1,3,1,1,2,1,1,2,2,2,2,3,3,1.6,1.5,2.25
1033,Männlich,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,3,2.2,2,3.25
1034,Weiblich,2,3,2,1,2,1,2,2,2,2,1,1,1,1,1,1,5,1,2,1.5,1
1035,Weiblich,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,5,1,2,1.75,1
1036,Weiblich,1,2,2,2,2,3,2,3,2,3,3,2,3,1,2,2,4,2,1.8,2.625,1.75
1037,Weiblich,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,5,3,3,1.6,1.375,2.5
1038,Weiblich,3,3,3,3,3,1,3,2,3,4,3,3,1,1,1,2,5,1,3,2.5,1.25
1039,Weiblich,3,4,3,4,2,1,1,4,1,1,4,4,2,1,1,5,5,1,3.2,2.25,2
1040,Weiblich,3,2,2,3,2,1,4,2,1,2,4,2,1,1,1,1,5,1,2.4,2.125,1
1041,Männlich,2,2,2,2,2,2,3,1,2,2,3,2,1,5,4,4,5,1,2,2,3.5
1042,Männlich,2,2,2,3,3,1,3,2,2,2,3,1,2,2,2,3,4,2,2.4,2,2.25
1043,Weiblich,2,1,2,2,1,1,2,2,1,2,3,1,1,1,1,1,5,1,1.6,1.625,1
1044,Männlich,2,2,4,2,3,2,3,2,3,1,1,2,2,1,1,1,4,2,2.6,2,1.25
1045,Weiblich,3,4,3,4,4,3,3,3,3,3,4,3,4,1,1,4,2,4,3.6,3.25,2.5
