"";"full_id";"gender";"stadi1";"stadi2";"stadi3";"stadi4";"stadi5";"stadi6";"stadi7";"stadi8";"stadi9";"stadi10";"stadi11";"stadi12";"stadi13";"stadi14";"stadi15";"stadi16";"stadi17";"stadi18";"stadi19";"stadi20";"rse1";"rse2";"rse3";"rse4";"rse5";"rse6";"rse7";"rse8";"rse9";"rse10";"apq26";"apq28";"apq35";"apq40";"rse2.r";"rse5.r";"rse6.r";"rse8.r";"rse9.r";"stadi3.r";"stadi7.r";"stadi11.r";"stadi15.r";"stadi19.r";"apq40.r";"depression";"angst";"selbstwert";"strafen";"negative_affect";"negative_affect_z";"selbstwert_z"
"1";1001;"Weiblich";2;2;4;2;2;2;4;2;3;2;3;1;4;2;3;1;1;4;3;1;3;2;4;3;2;1;4;3;1;5;1;1;1;5;4;4;5;3;5;1;1;2;2;2;1;1,5;2,4;4;1;3,9;-0,295473668676344;0,469066392608003
"2";1002;"Männlich";3;2;3;2;2;3;3;2;2;3;2;2;2;3;3;3;2;3;4;2;4;2;4;5;2;2;4;2;3;4;2;4;4;3;4;4;4;4;3;2;2;3;2;1;3;2,1;2,5;3,8;3,25;4,6;0,373853808833279;0,149470750831063
"3";1003;"Männlich";3;3;2;3;2;3;3;2;3;3;1;NA;2;3;3;4;2;3;3;2;4;3;2;4;3;2;4;3;4;2;3;1;3;4;3;3;4;3;2;3;2;4;2;2;2;2,66666666666667;2,7;3,1;2,25;5,36666666666667;1,10692676039144;-0,969113995388227
"4";1004;"Weiblich";2;2;3;1;2;2;3;2;2;1;1;2;1;2;3;2;2;3;4;2;4;4;4;3;4;3;3;3;3;2;1;NA;1;4;2;2;3;3;3;2;2;4;2;1;2;2;1,9;2,9;1,33333333333333;3,9;-0,295473668676344;-1,28870963716517
"5";1005;"Männlich";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2,5;2;3;3;4,5;0,278235597760476;-1,1289118162767
"6";1006;"Männlich";2;4;2;3;4;3;3;2;4;3;2;4;3;4;4;4;3;4;2;3;5;3;4;3;4;5;3;3;4;5;3;4;5;4;3;2;1;3;2;3;2;3;1;3;2;2,8;3,4;3,1;3,5;6,2;1,90374518599813;-0,969113995388227
"7";1007;"Männlich";3;3;2;2;2;2;3;3;3;3;2;3;2;2;2;2;2;2;3;2;3;3;3;3;4;3;3;3;3;3;3;3;1;5;3;2;3;3;3;3;2;3;3;2;1;2,5;2,4;2,9;2;4,9;0,660708442051689;-1,28870963716517
"8";1008;"Männlich";2;2;3;2;2;1;3;2;2;2;2;1;2;1;3;1;1;2;3;2;4;2;5;4;2;1;4;2;1;4;3;1;2;3;4;4;5;4;5;2;2;3;2;2;3;1,9;1,7;4,1;2,25;3,6;-0,582328301894754;0,628864213496472
"9";1009;"Männlich";2;3;1;2;1;3;1;3;2;3;2;3;2;3;3;3;2;3;2;3;2;4;4;3;3;4;3;3;3;2;4;4;4;4;2;3;2;3;3;4;4;3;2;3;2;3;2,4;2,7;3,5;5,4;1,13879949741571;-1,60830527894211
"10";1010;"Männlich";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;4;3;1;2;3;2;2;3;1;1;1;4;3;5;4;4;4;3;3;3;3;3;2;2,5;2;3,5;1,25;4,5;0,278235597760476;-0,329922711834347
